benchmark,lines
./DRB001-antidep1-orig-yes.c,68
./DRB002-antidep1-var-yes.c,73
./DRB003-antidep2-orig-yes.c,76
./DRB004-antidep2-var-yes.c,82
./DRB005-indirectaccess1-orig-yes.c,136
./DRB006-indirectaccess2-orig-yes.c,135
./DRB007-indirectaccess3-orig-yes.c,135
./DRB008-indirectaccess4-orig-yes.c,135
./DRB009-lastprivatemissing-orig-yes.c,64
./DRB010-lastprivatemissing-var-yes.c,67
./DRB011-minusminus-orig-yes.c,80
./DRB012-minusminus-var-yes.c,80
./DRB013-nowait-orig-yes.c,80
./DRB016-outputdep-orig-yes.c,78
./DRB017-outputdep-var-yes.c,76
./DRB018-plusplus-orig-yes.c,78
./DRB019-plusplus-var-yes.c,79
./DRB020-privatemissing-var-yes.c,75
./DRB021-reductionmissing-orig-yes.c,79
./DRB022-reductionmissing-var-yes.c,80
./DRB024-simdtruedep-orig-yes.c,71
./DRB025-simdtruedep-var-yes.c,75
./DRB026-targetparallelfor-orig-yes.c,68
./DRB028-privatemissing-orig-yes.c,73
./DRB029-truedep1-orig-yes.c,68
./DRB030-truedep1-var-yes.c,74
./DRB031-truedepfirstdimension-orig-yes.c,72
./DRB032-truedepfirstdimension-var-yes.c,78
./DRB033-truedeplinear-orig-yes.c,69
./DRB034-truedeplinear-var-yes.c,73
./DRB035-truedepscalar-orig-yes.c,72
./DRB036-truedepscalar-var-yes.c,75
./DRB037-truedepseconddimension-orig-yes.c,75
./DRB038-truedepseconddimension-var-yes.c,79
./DRB039-truedepsingleelement-orig-yes.c,65
./DRB040-truedepsingleelement-var-yes.c,72
./DRB041-3mm-parallel-no.c,746
./DRB043-adi-parallel-no.c,149
./DRB044-adi-tile-no.c,193
./DRB045-doall1-orig-no.c,67
./DRB046-doall2-orig-no.c,76
./DRB047-doallchar-orig-no.c,69
./DRB048-firstprivate-orig-no.c,75
./DRB049-fprintf-orig-no.c,83
./DRB050-functionparameter-orig-no.c,77
./DRB052-indirectaccesssharebase-orig-no.c,134
./DRB053-inneronly1-orig-no.c,81
./DRB054-inneronly2-orig-no.c,73
./DRB055-jacobi2d-parallel-no.c,139
./DRB056-jacobi2d-tile-no.c,175
./DRB057-jacobiinitialize-orig-no.c,93
./DRB058-jacobikernel-orig-no.c,144
./DRB059-lastprivate-orig-no.c,70
./DRB060-matrixmultiply-orig-no.c,97
./DRB061-matrixvector1-orig-no.c,106
./DRB062-matrixvector2-orig-no.c,104
./DRB063-outeronly1-orig-no.c,94
./DRB064-outeronly2-orig-no.c,95
./DRB065-pireduction-orig-no.c,70
./DRB066-pointernoaliasing-orig-no.c,78
./DRB067-restrictpointer1-orig-no.c,91
./DRB068-restrictpointer2-orig-no.c,121
./DRB070-simd1-orig-no.c,71
./DRB071-targetparallelfor-orig-no.c,68
./DRB073-doall2-orig-yes.c,76
./DRB084-threadprivatemissing-orig-yes.c,82
./DRB085-threadprivate-orig-no.c,88
./DRB090-static-local-orig-yes.c,97
./DRB091-threadprivate2-orig-no.c,80
./DRB092-threadprivatemissing2-orig-yes.c,83
./DRB093-doall2-collapse-orig-no.c,75
./DRB094-doall2-ordered-orig-no.c,74
./DRB095-doall2-taskloop-orig-yes.c,76
./DRB096-doall2-taskloop-collapse-orig-no.c,70
./DRB097-target-teams-distribute-orig-no.c,79
./DRB098-simd2-orig-no.c,75
./DRB099-targetparallelfor2-orig-no.c,75
./DRB104-nowait-barrier-orig-no.c,74
./DRB109-orderedmissing-orig-yes.c,60
./DRB110-ordered-orig-no.c,61
./DRB111-linearmissing-orig-yes.c,74
./DRB112-linear-orig-no.c,73
./DRB113-default-orig-no.c,86
./DRB114-if-orig-yes.c,70
./DRB041-3mm-parallel-no.c,1103
./DRB043-adi-parallel-no.c,506
./DRB044-adi-tile-no.c,550
./DRB055-jacobi2d-parallel-no.c,496
./DRB056-jacobi2d-tile-no.c,532
./BT,4182
./CG,1279
./EP,641
./FT,1646
./IS,1071
./LU,4065
./MG,1664
./SP,3594
./b+tree,3420
./bfs,190
./cfd,965
./heartwall,3976
./hotspot,326
./hotspot3D,271
